Municipios,Nome do Conflito,Familias,Area
So Raimundo das Mangabeiras,Data Barra da Oncga,,186
Sao Vicente Ferrer,Com. Quilombola do Charco,,1280
Senador La Rocque,Acampamento Batata da Terra,,800
Timbiras,Faz. Campestre Catulo/Pov. Canafistula,,14402
Timbiras,Faz. Sao Raimundo/Data S40 Tomé,,5000
Tuntum,Pov. Baixaéo do Gato e Tamanquinho,,2500
Tuntum,Povo Krenyé,,8000
Turilandia,P. A. Santo Anténio/Rio Caxias,,5000
Urbano Santos,Com. Quilombola de Santa Maria/Faz. Lara/Fortaleza,,1000
Urbano Santos,Com. Santa Rosa/Bacabal,60,1549
Urbano Santos,Pov. Margal das Ongas,30,
Urbano Santos,Pov. Pedra Grande,45,
Urbano Santos,Comunidade Sao Raimundo,36,1400
Urbano Urbano Santos/ Santos/ Belagua Belagua,Jugaral Estiva do Cangati,30 8,680
Urbano Santos/ Cod6,Pov. Cajazeiras,250,
Viana,Pov. de Bahias/Santero/Povo Gamella,250,
Subtotal:,180,16154,989745
Barao de Melgaco,T. |. Baia dos Guat6/Guaté,50,
Brasnorte,T. |. lrantxe/Manoki,50,46790
Caceres,Faz. Rancho Verde/Acamp. Renascer,100,
Campo Novo dos Parecis,T. |. Utiariti/Aldeia Bacaval,102,
Campos de Julio/ Nova Lacerda,T.1. Uirapuru,7,21680
Colniza Chapada dos Guimaraes,Area Com.Tradicional/Ass. da Cooper-Roosevelt/P. N. Sra. Aparecida A Taquarucu do Norte,150 51,1500
Colniza,Faz. Bauru/Magali,374,48000
Comodoro/ Colniza,T. |. Kawahiva do Rio Pardo,17,411844
Confresa,P.A. Independente |,279,
Confresa/ Santa Terezinha,T. |. Urubu Branco/Tapirapé,146,
Diamantino/ Nova Marilandia/ Nova Maringa,T.I. Estagao Paresi/Ponte de Pedra/Faz. Sao Jorge,89,3620
Feliz Natal,Assentamento Ena,500,
Jaciara,Area da Prefeitura/Acamp. Pe. José Ten Cate,400,250
Jaciara,Fazenda Entre Rios,300,
Jaciara,Gl. Mestre I/Usina Pantanal/Acamp. Renascer,135,8900
Juina,Gleba Rio Verde/Fazenda Esmeralda,30,
Juruena,Faz. Rosahmar/Rohden,4,25100
Mirassol do Oeste,Acamp. Terra Esperanca,89,
Nova Xavantina/ Campinapolis,T. |. Parabubure/Xavante,955,224447
Novo Mundo,Gl. Nhandu/Faz. Belo Horizonte,90,6000
Novo Mundo,Faz. Arauna/Acamp. Nova Esperanga/GI. Nhandu,20,
Novo Mundo,Faz. Nossa Sra. da Abadia/Pouso Alegre/Antiga Faz. 5,96,
Paranatinga,PDS Rio Jatoba,190,10726
Peixoto de Azevedo,Fazenda Serra Dourada II,300,4100
Queréncia,P.A. Coutinho Uniao,170,15739
Santo Anténio do Leverger,T.I. Tereza Cristina,127,25694
Sao Félix do Araguaia/ Alto Boa Vista,T. |. Maraiwatsedé/Xavante/Faz. Suia-Missu,225,165000
Sapezal,T.I. Tirecatinga,44,130575
Sorriso,Fazenda Cagula,60,
Tabapora/ Apiacas/ Juara/ Nova Canaa do Norte,T. Kururuzinho//Muruvi/Dinossauro |. Batelao/Apiaca- Kayabi/Ald.,50,117000
