uf,municipio,nome_conflito,familias,area
Amazonas,,Presidente Figueiredo Com. Castanhal/BR-174/Km 135,115,
Amazonas,,Presidente Figueiredo Com. Canastra/BR-174/Km 137,39,
Amazonas,,Presidente Figueiredo/ Itacoatiara/ Novo Airão/ Urucará T. I. Waimiri Atroari/Linhão de Tucuruí/PAC,350,2585910
Amazonas,Rio Preto da Eva,"Comunidade Bons Amigos 1, 2 e 3",111,
Amazonas,Rio Preto da Eva,Com. Ifibram/Km 84,38,
Amazonas,São Gabriel da Cachoeira,Índios Yanomami/Aldeias Maturacá e Ariabu/Contaminação por Mercúrio,,
Amazonas,São Gabriel da Cachoeira,T. I. Alto Rio Negro,1100,
Amazonas,São Gabriel da Cachoeira/ Santa Isabel do Rio Negro/ Japurá,T. I. Médio Rio Negro I,497,1776
Amazonas,Subtotal = 40,,11376,12867467
Amapá,Amapá,Faz. Itapoã/Amcel/Piquiá,15,500
Amapá,Amapá,Fazenda Espírito Santo,10,1089
Amapá,Amapá,Com. ao Longo do Rio Laranjeiras/Amapá Grande/Piquiá,20,45000
Amapá,Amapá,Base Aérea/Localidade Próxima ao Cruzeiro,40,2500
Amapá,Amapá,São Roque/Redondo,30,14400
Amapá,Amapá,Faz. Minerva/CAPAB,1,37511
Amapá,Calçoene,Cunani e 7 Ilhas,30,16000
Amapá,Calçoene,Juncal,30,30000
Amapá,Calçoene,Ramal Ilha Grande,15,1000
Amapá,Cutias do Araguari,Alta Floresta/Gurupora,34,3000
Amapá,Ferreira Gomes,Igarapé do Palha/Amcel,25,900
Amapá,Ferreira Gomes,Antiga Faz. Zebulândia/Campinho,4,5000
Amapá,Ferreira Gomes,Terra Preta,1,100
Amapá,Itaubal do Piririm,Jupati,15,"635,3"
Amapá,Itaubal do Piririm,Com. Quil. São Miguel do Macacoari,20,2000
Amapá,Macapá,Áreas em Itaubal/Agronegócio Sinal Verde/Boa Vista da Pedreira,20,700
Amapá,Macapá,Abacate do Pedreira/Rio Fugido,20,500
Amapá,Macapá,Assent. Osmar Ribeiro/Ramal do Abacate/Km 34/BR-156,80,3000
Amapá,Macapá,Santa Luzia/São Tomé/Rio Pacuí/10 Comunidades Próximas ao Rio Pacuí,200,3000
Amapá,Macapá,Ariri,20,3000
Amapá,Macapá,Piririm/Pacuí,30,1500
Amapá,Macapá,Quilombo Conceição do Macacoari,20,"8475,47"
Amapá,Macapá,Santo Antônio da Pedreira,30,800
Amapá,Macapá,Bailique-Foz,20,2800
Amapá,Mazagão,Assentamento Pancada do Camaipi,400,300
Amapá,Pedra Branca do Amapari/ Laranjal do Jari,T. I. Waiãpi/Aldeia Mariry,300,607000
